movie_name,ja_release,ja_source,ja_author,vi_release,vi_source,vi_author
"""Dahmer - Monster: The Jeffrey Dahmer Story"" Doi... (2022)",23/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9250559,oakislandtk,23/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9250924,duckeo92
"""Dahmer - Monster: The Jeffrey Dahmer Story"" Blo... (2022)",23/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9250561,oakislandtk,23/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9250922,duckeo92
"""Dahmer - Monster: The Jeffrey Dahmer Story"" Sil... (2022)",23/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9250562,oakislandtk,23/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9250921,duckeo92
"""Dahmer - Monster: The Jeffrey Dahmer Story"" Cas... (2022)",23/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9250563,oakislandtk,23/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9250920,duckeo92
"""Dahmer - Monster: The Jeffrey Dahmer Story"" Lio... (2022)",23/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9250564,oakislandtk,23/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9250919,duckeo92
"""Dahmer - Monster: The Jeffrey Dahmer Story"" God... (2022)",23/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9250566,oakislandtk,23/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9250917,duckeo92
"""See"" The Storm (2022)",17/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9244367,oakislandtk,17/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9244383,oakislandtk
Goodnight Mommy (2022),16/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9243070,LoFi123,16/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9243068,LoFi123
"""Cyberpunk: Edgerunners"" My Moon My Man (2022)",13/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9239825,hazylum,13/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9240102,hazylum
"""Cyberpunk: Edgerunners"" Humanity (2022)",13/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9239821,hazylum,13/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9240101,hazylum
"""Cyberpunk: Edgerunners"" Stay (2022)",13/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9239817,hazylum,13/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9240100,hazylum
"""Cyberpunk: Edgerunners"" Stronger (2022)",13/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9239812,hazylum,13/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9240099,hazylum
"""Cyberpunk: Edgerunners"" Girl on Fire (2022)",13/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9239808,hazylum,13/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9240098,hazylum
"""Cyberpunk: Edgerunners"" All Eyez On Me (2022)",13/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9239804,hazylum,13/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9240097,hazylum
"""Cyberpunk: Edgerunners"" Lucky You (2022)",13/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9239800,hazylum,13/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9240096,hazylum
"""Cyberpunk: Edgerunners"" Smooth Criminal (2022)",13/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9239796,hazylum,13/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9240095,hazylum
"""Cyberpunk: Edgerunners"" Like A Boy (2022)",13/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9239792,hazylum,13/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9240094,hazylum
"""Cyberpunk: Edgerunners"" Let You Down (2022)",13/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9239787,hazylum,13/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9240093,hazylum
Pinocchio (2022),09/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9234544,oakislandtk,12/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9238654,superpan3000
"""Big Mouth"" Episode #1.13 (2022)",09/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9235755,,11/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9238007,vo_danhka
"""Big Mouth"" Episode #1.14 (2022)",11/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9237983,,11/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9238006,vo_danhka
"""See"" This Land Is Your Land (2022)",11/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9237610,oakislandtk,11/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9237622,oakislandtk
The Anthrax Attacks (2022),11/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9237573,oakislandtk,11/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9237582,oakislandtk
"""The Lord of the Rings: The Rings of Power"" Adar (2022)",09/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9234673,LoFi123,09/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9234685,LoFi123
I Came By (2022),04/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9229312,oakislandtk,04/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9229320,oakislandtk
"""Surface"" See You on the Other Side (2022)",03/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9229088,oakislandtk,03/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9229107,oakislandtk
